DATE,SWAP_COUNT,TOTAL_TRADING_VOLUME_USD
2022-08-13 00:00:00.000,157,31953946.24
2022-08-14 00:00:00.000,103,12771347.01
2022-08-15 00:00:00.000,177,107887522.85
2022-08-16 00:00:00.000,178,108114986.35
2022-08-17 00:00:00.000,151,54136944.36
2022-08-18 00:00:00.000,100,22403282.01
2022-08-19 00:00:00.000,221,67199455.18
2022-08-20 00:00:00.000,241,41288445.35
2022-08-21 00:00:00.000,150,123151614.22
2022-08-22 00:00:00.000,148,42713101.15
2022-08-23 00:00:00.000,229,90447656.99
2022-08-24 00:00:00.000,180,57747317.57
2022-08-25 00:00:00.000,209,59307958.68
2022-08-26 00:00:00.000,209,46703559.76
2022-08-27 00:00:00.000,120,12375772.39
2022-08-28 00:00:00.000,128,98443981.21
2022-08-29 00:00:00.000,272,79505925.72
2022-08-30 00:00:00.000,285,41660908.32
2022-08-31 00:00:00.000,125,26514653.01
2022-09-01 00:00:00.000,123,28451827.9
2022-09-02 00:00:00.000,196,43144630.64
2022-09-03 00:00:00.000,163,40405540.16
2022-09-04 00:00:00.000,99,116612880.13
2022-09-05 00:00:00.000,150,115389537.88
2022-09-06 00:00:00.000,211,66535198.36
2022-09-07 00:00:00.000,199,74429365.27
2022-09-08 00:00:00.000,145,33194181.19
2022-09-09 00:00:00.000,185,63772623.01
2022-09-10 00:00:00.000,129,50137756.37
2022-09-11 00:00:00.000,136,22543124.67
2022-09-12 00:00:00.000,170,56720195
2022-09-13 00:00:00.000,178,74653254.42
2022-09-14 00:00:00.000,256,104903024.75
2022-09-15 00:00:00.000,326,83918969.52
2022-09-16 00:00:00.000,236,47744320.92
2022-09-17 00:00:00.000,146,9325461.42
2022-09-18 00:00:00.000,144,49136961.68
2022-09-19 00:00:00.000,176,51607343.24
2022-09-20 00:00:00.000,186,60770541.94
2022-09-21 00:00:00.000,262,52576417.74
2022-09-22 00:00:00.000,210,37572040.88
2022-09-23 00:00:00.000,223,13760243.04
2022-09-24 00:00:00.000,153,44540954.46
2022-09-25 00:00:00.000,130,13439910.56
2022-09-26 00:00:00.000,184,46539457.85
2022-09-27 00:00:00.000,201,46962856.86
2022-09-28 00:00:00.000,193,61006183.3
2022-09-29 00:00:00.000,215,57239277.39
2022-09-30 00:00:00.000,175,46060813.76
2022-10-01 00:00:00.000,156,46415452.08
2022-10-02 00:00:00.000,176,4521797.4
2022-10-03 00:00:00.000,155,40519163.4
2022-10-04 00:00:00.000,169,64148947.3
2022-10-05 00:00:00.000,204,66343400.45
2022-10-06 00:00:00.000,181,63095259.64
2022-10-07 00:00:00.000,195,67076513.07
2022-10-08 00:00:00.000,97,25174452.02
2022-10-09 00:00:00.000,87,28984789.72
2022-10-10 00:00:00.000,87,43435003.12
2022-10-11 00:00:00.000,164,94154289.71
2022-10-12 00:00:00.000,199,36767510.5
2022-10-13 00:00:00.000,283,76656277.37
2022-10-14 00:00:00.000,184,27210319.8
2022-10-15 00:00:00.000,137,8609986.48
2022-10-16 00:00:00.000,82,12227298.77
2022-10-17 00:00:00.000,180,106246849.75
2022-10-18 00:00:00.000,170,41513489.33
2022-10-19 00:00:00.000,161,25575150.85
2022-10-20 00:00:00.000,160,26422654.65
2022-10-21 00:00:00.000,181,96072142.83
2022-10-22 00:00:00.000,108,30858548.55
2022-10-23 00:00:00.000,106,38883862.69
2022-10-24 00:00:00.000,134,56404691.53
2022-10-25 00:00:00.000,195,83723833
2022-10-26 00:00:00.000,214,44947589.6
2022-10-27 00:00:00.000,202,48020296.95
2022-10-28 00:00:00.000,198,18239108.81
2022-10-29 00:00:00.000,155,43294605.75
2022-10-30 00:00:00.000,107,90215353.72
2022-10-31 00:00:00.000,194,169493627.31
2022-11-01 00:00:00.000,181,69725321.61
2022-11-02 00:00:00.000,255,91404883.16
2022-11-03 00:00:00.000,205,63719101.33
2022-11-04 00:00:00.000,203,61812417.74
2022-11-05 00:00:00.000,92,38696574.2
2022-11-06 00:00:00.000,89,33104814.16
2022-11-07 00:00:00.000,208,71694405.11
2022-11-08 00:00:00.000,442,259082442.86
2022-11-09 00:00:00.000,1041,792815148.15
2022-11-10 00:00:00.000,2748,2041800401.77
2022-11-11 00:00:00.000,921,524320463.61
2022-11-12 00:00:00.000,716,362545881.96
2022-11-13 00:00:00.000,449,208889562.66
2022-11-14 00:00:00.000,551,196765963.6
2022-11-15 00:00:00.000,515,254373051.69
2022-11-16 00:00:00.000,431,137319503.94
2022-11-17 00:00:00.000,394,79669056.14
2022-11-18 00:00:00.000,366,178987632.39
2022-11-19 00:00:00.000,500,118929473.39
